image_path,style,original_filename,label
data\processed\Cubism\pablo-picasso_pitcher-and-bowls-1908.jpg,Cubism,pablo-picasso_pitcher-and-bowls-1908.jpg,7
data\processed\Rococo\william-hogarth_the-countess-s-morning-levee.jpg,Rococo,william-hogarth_the-countess-s-morning-levee.jpg,22
data\processed\Naive_Art_Primitivism\antonio-ligabue_horses.jpg,Naive_Art_Primitivism,antonio-ligabue_horses.jpg,15
data\processed\Pointillism\paul-signac_port-of-la-rochelle-1921.jpg,Pointillism,paul-signac_port-of-la-rochelle-1921.jpg,18
data\processed\Art_Nouveau_Modern\sergey-solomko_portrait-of-italian-young-man.jpg,Art_Nouveau_Modern,sergey-solomko_portrait-of-italian-young-man.jpg,3
data\processed\New_Realism\john-french-sloan_easter-eve-1907.jpg,New_Realism,john-french-sloan_easter-eve-1907.jpg,16
data\processed\Abstract_Expressionism\friedel-dzubas_over-the-hill-1953.jpg,Abstract_Expressionism,friedel-dzubas_over-the-hill-1953.jpg,0
data\processed\Early_Renaissance\andrea-del-castagno_st-mark-1442.jpg,Early_Renaissance,andrea-del-castagno_st-mark-1442.jpg,8
data\processed\Cubism\anita-malfatti_nu-cubista.jpg,Cubism,anita-malfatti_nu-cubista.jpg,7
data\processed\Impressionism\claude-monet_andre-lauvray(1).jpg,Impressionism,claude-monet_andre-lauvray(1).jpg,12
data\processed\Early_Renaissance\filippo-lippi_the-triumph-of-mordecai.jpg,Early_Renaissance,filippo-lippi_the-triumph-of-mordecai.jpg,8
data\processed\Contemporary_Realism\fairfield-porter_wild-roses-1961.jpg,Contemporary_Realism,fairfield-porter_wild-roses-1961.jpg,6
data\processed\Minimalism\ralph-hotere_black-cerulean-1999.jpg,Minimalism,ralph-hotere_black-cerulean-1999.jpg,14
data\processed\Post_Impressionism\henri-de-toulouse-lautrec_the-original-cover-for-print.jpg,Post_Impressionism,henri-de-toulouse-lautrec_the-original-cover-for-print.jpg,20
data\processed\Minimalism\leo-villareal_stars-2008.jpg,Minimalism,leo-villareal_stars-2008.jpg,14
data\processed\Naive_Art_Primitivism\aldemir-martins_blue-cat.jpg,Naive_Art_Primitivism,aldemir-martins_blue-cat.jpg,15
data\processed\Pointillism\yayoi-kusama_sunlight-1998.jpg,Pointillism,yayoi-kusama_sunlight-1998.jpg,18
data\processed\Romanticism\sir-lawrence-alma-tadema_a-sculpture-gallery-in-rome-at-the-time-of-agrippa-1867.jpg,Romanticism,sir-lawrence-alma-tadema_a-sculpture-gallery-in-rome-at-the-time-of-agrippa-1867.jpg,23
data\processed\Northern_Renaissance\albrecht-durer_the-dresden-altarpiece-side-wings-1496.jpg,Northern_Renaissance,albrecht-durer_the-dresden-altarpiece-side-wings-1496.jpg,17
data\processed\Pop_Art\gianfranco-baruchello_je-donne-ma-langue-au-chat-2009.jpg,Pop_Art,gianfranco-baruchello_je-donne-ma-langue-au-chat-2009.jpg,19
data\processed\Post_Impressionism\auguste-herbin_les-joueurs-de-boules.jpg,Post_Impressionism,auguste-herbin_les-joueurs-de-boules.jpg,20
data\processed\Realism\vincent-van-gogh_bench-with-three-persons-1882(1).jpg,Realism,vincent-van-gogh_bench-with-three-persons-1882(1).jpg,21
data\processed\Mannerism_Late_Renaissance\paolo-veronese_christ-washing-the-feet-of-the-disciples.jpg,Mannerism_Late_Renaissance,paolo-veronese_christ-washing-the-feet-of-the-disciples.jpg,13
data\processed\Abstract_Expressionism\sam-francis_beaudelaire-1986.jpg,Abstract_Expressionism,sam-francis_beaudelaire-1986.jpg,0
data\processed\Minimalism\yves-klein_untitled-yellow-pink-monochrome-1955.jpg,Minimalism,yves-klein_untitled-yellow-pink-monochrome-1955.jpg,14
data\processed\Naive_Art_Primitivism\raoul-dufy_the-mexican-orchestra-1951.jpg,Naive_Art_Primitivism,raoul-dufy_the-mexican-orchestra-1951.jpg,15
data\processed\Cubism\auguste-herbin_composition-monumentale-1919.jpg,Cubism,auguste-herbin_composition-monumentale-1919.jpg,7
data\processed\Post_Impressionism\panayiotis-tetsis_still-life-5.jpg,Post_Impressionism,panayiotis-tetsis_still-life-5.jpg,20
data\processed\Naive_Art_Primitivism\marc-chagall_on-the-tramp-1962.jpg,Naive_Art_Primitivism,marc-chagall_on-the-tramp-1962.jpg,15
data\processed\Post_Impressionism\moise-kisling_sonia(1).jpg,Post_Impressionism,moise-kisling_sonia(1).jpg,20
data\processed\Naive_Art_Primitivism\marc-chagall_untitled-1973.jpg,Naive_Art_Primitivism,marc-chagall_untitled-1973.jpg,15
data\processed\Symbolism\nicholas-roerich_st-mercurius-of-smolensk-1918.jpg,Symbolism,nicholas-roerich_st-mercurius-of-smolensk-1918.jpg,24
data\processed\Abstract_Expressionism\william-scott_blue-form-on-white-1964.jpg,Abstract_Expressionism,william-scott_blue-form-on-white-1964.jpg,0
data\processed\Expressionism\pyotr-konchalovsky_family-portrait-against-chinese-panel-1911.jpg,Expressionism,pyotr-konchalovsky_family-portrait-against-chinese-panel-1911.jpg,9
data\processed\Expressionism\edvard-munch_walter-rathenau-1907.jpg,Expressionism,edvard-munch_walter-rathenau-1907.jpg,9
data\processed\Northern_Renaissance\albrecht-durer_cardinal-albrecht-of-brandenburg-1523.jpg,Northern_Renaissance,albrecht-durer_cardinal-albrecht-of-brandenburg-1523.jpg,17
data\processed\Mannerism_Late_Renaissance\jacopo-pontormo_christ-seated-as-a-nude-figure.jpg,Mannerism_Late_Renaissance,jacopo-pontormo_christ-seated-as-a-nude-figure.jpg,13
data\processed\Expressionism\lucian-freud_naked-child-laughing-1963.jpg,Expressionism,lucian-freud_naked-child-laughing-1963.jpg,9
data\processed\Fauvism\ilya-mashkov_portrait-of-a-lady-with-pheasants-1911.jpg,Fauvism,ilya-mashkov_portrait-of-a-lady-with-pheasants-1911.jpg,10
data\processed\Abstract_Expressionism\robert-nickle_untitled-1961.jpg,Abstract_Expressionism,robert-nickle_untitled-1961.jpg,0
